Incidence Rate Report for United States by County

"All Cancer Sites, 2009-2013"

"All Races (includes Hispanic), Both Sexes, Ages <50"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,102.2 ,102, 102.4,206128,stable,-0.8 ,-1.5, 0.0
"Union County, Florida(6,10)",12125,555.7 ,493.9, 623.2,60,stable,-3.4 ,-22.4, 20.2
"Lexington City, Virginia(6,10)",51678,303.1 ,205.9, 427.9,7,stable,27.3 ,-0.2, 62.4
"Williamsburg City, Virginia(6,10)",51830,300.3 ,233.9, 378.7,15,stable,18.6 ,-26.3, 91.0
"Eddy County, North Dakota(6,10)",38027,276.9 ,156.4, 452.7,3,*,*,*,*
"Covington City, Virginia(6,10)",51580,222 ,158.2, 303.2,8,stable,29.5 ,-14.5, 96.0
"Menifee County, Kentucky(7,9)",21165,201.2 ,142, 276.5,8,stable,-2.2 ,-26.9, 30.7
"Bracken County, Kentucky(7,9)",21023,181.9 ,135.4, 239.4,10,stable,-22.2 ,-48.5, 17.6
"Estill County, Kentucky(7,9)",21065,180.1 ,144.3, 222.3,18,stable,11.4 ,-16.4, 48.6
"Clinton County, Kentucky(7,9)",21053,179.9 ,136.2, 233.1,12,stable,4.0 ,-25.1, 44.4
"Powell County, Kentucky(7,9)",21197,175 ,137.1, 220.2,15,stable,1.0 ,-27.4, 40.4
"Dallam County, Texas(6,10)",48111,170.1 ,119.6, 234,7,stable,2.2 ,-34.4, 59.2
"Wolfe County, Kentucky(7,9)",21237,168.6 ,118.3, 232.9,7,stable,-17.0 ,-46.7, 29.2
"Clay County, West Virginia(6,10)",54015,166 ,122.1, 220.7,10,stable,1.0 ,-15.4, 20.5
"Petersburg City, Virginia(6,10)",51730,165.7 ,140.7, 193.8,33,stable,-1.3 ,-30.8, 40.7
"Charlottesville City, Virginia(6,10)",51540,164.7 ,142, 189.9,42,stable,10.1 ,-19.7, 50.8
"Fredericksburg City, Virginia(6,10)",51630,164 ,135.7, 196.1,25,rising,15.6 ,2.7, 30.0
"Sargent County, North Dakota(6,10)",38081,163.7 ,94.6, 263.5,3,*,*,*,*
"Adams County, Iowa(7)",19003,162.9 ,98.8, 254.2,4,*,*,*,*
"McCook County, South Dakota(6,10)",46087,162.9 ,105.8, 239.5,5,stable,13.9 ,-30.4, 86.3
"Logan County, West Virginia(6,10)",54045,161.7 ,139.1, 187.1,37,stable,9.9 ,-15.3, 42.5
"Menominee County, Wisconsin(6,10)",55078,161.6 ,97.2, 250.7,4,stable,8.9 ,-60.8, 202.5
"Calhoun County, Illinois(6,10)",17013,160.8 ,102.3, 240.9,5,stable,31.5 ,-51.4, 256.3
"Beaver County, Oklahoma(6,10)",40007,160 ,104.1, 234.8,5,stable,-7.0 ,-54.8, 91.4
"Rush County, Indiana(6,10)",18139,159.1 ,126.8, 197.2,17,stable,-9.5 ,-29.0, 15.3
"Cameron County, Pennsylvania(6,10)",42023,158 ,98.1, 241.9,4,stable,1.8 ,-52.2, 116.8
"Calhoun County, Iowa(7,8)",19025,157.9 ,114.4, 212.6,9,rising,3.3 ,1.0, 5.7
"Carter County, Missouri(6,10)",29035,157.8 ,106.8, 224.9,6,stable,-7.7 ,-42.5, 48.1
"Jim Hogg County, Texas(6,10)",48247,157.2 ,100.1, 233.9,5,stable,3.1 ,-57.9, 152.4
"Boone County, Nebraska(6,10)",31011,156.4 ,94.4, 242,4,stable,11.4 ,-37.0, 96.9
