#Incidence Rate Report for United States by County,,,,,,,,,
#,,,,,,,,,
#"All Cancer Sites, 2009-2013",,,,,,,,,
#,,,,,,,,,
#"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,
#,,,,,,,,,
#Sorted by Rate,,,,,,,,,
#,,,,,,,,,
County,FIPS,"Age-Adjusted Incidence Rate( ) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (à) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Williamsburg City, Virginia(6,10)",51830,1249.4,1160.8,1343.3,168,stable,25.2,-29.7,122.8
"Union County, Florida(6,10)",12125,1221.9,1145.3,1302.4,215,stable,-0.7,-12.6,13
"Lexington City, Virginia(6,10)",51678,966,850.6,1093.5,62,stable,28.3,-19.9,105.4
"Charlottesville City, Virginia(6,10)",51540,829.1,786.1,873.9,291,stable,11.5,-9.6,37.6
"Covington City, Virginia(6,10)",51580,782.1,693.8,879.3,60,stable,34.5,-16.2,115.8
"Petersburg City, Virginia(6,10)",51730,685,647.7,724,266,stable,5.7,-17.4,35.3
"Logan County, Nebraska(6,10)",31113,667.9,449,962.7,6,stable,18.6,-14.7,65
"Powell County, Kentucky(7,9)",21197,645,586.1,708.4,94,stable,1,-16,21.4
"Waynesboro City, Virginia(6,10)",51820,640.3,597,686.1,169,rising,12.8,0.7,26.4
"Harrisonburg City, Virginia(6,10)",51660,636.2,597,677.3,207,stable,7.3,-8.9,26.2
"Bracken County, Kentucky(7,9)",21023,627.4,557.8,703.6,61,stable,-6.7,-21.5,10.8
"Golden Valley County, Montana(6,10)",30037,600.6,429.3,837.8,9,stable,11.7,-23,62.1
"Kingsbury County, South Dakota(6,10)",46077,599.9,519.9,690,46,stable,-7.8,-19.1,5.2
"Fredericksburg City, Virginia(6,10)",51630,599.9,553.9,648.6,130,stable,5.5,-4.3,16.4
"Yalobusha County, Mississippi(6,10)",28161,599.2,545.3,657.3,96,stable,4,-3.7,12.2
"Meagher County, Montana(6,10)",30059,597.3,472.2,750.7,19,stable,-1.1,-22.1,25.6
"Staunton City, Virginia(6,10)",51790,597,559.2,637,200,stable,11.9,-3.7,30
"Estill County, Kentucky(7,9)",21065,593.4,542.6,648,106,stable,4.9,-2,12.4
"Iberville Parish, Louisiana(7,9)",22047,592.3,556.9,629.5,218,falling,-4.3,-7.2,-1.2
"Mason County, Kentucky(7,9)",21161,591.3,545.1,640.5,126,stable,-2.9,-7.8,2.4
"Lake and Peninsula Borough, Alaska(6,10)",2164,590.3,385,856.6,7,stable,-6.7,-40.9,47.4
"Clay County, West Virginia(6,10)",54015,588.9,527.2,656.2,70,stable,-3.8,-8.7,1.3
"Eddy County, North Dakota(6,10)",38027,588,465.1,735.6,20,stable,-13.4,-43.4,32.4
"Buena Vista City, Virginia(6,10)",51530,583.9,509,667.2,46,stable,6,-7.8,21.8
"Dewey County, South Dakota(6,10)",46041,583,487.9,690.7,27,rising,12.1,3.9,21
"Thomas County, Nebraska(6,10)",31171,582.2,379.1,869,6,stable,28.7,-16.1,97.4
"Sanborn County, South Dakota(6,10)",46111,579.3,459.3,723.1,19,stable,-1.5,-26.3,31.8
"Quitman County, Georgia(7,9)",13239,575.6,468.1,704.4,23,stable,1,-22.7,32
"Wolfe County, Kentucky(7,9)",21237,575.5,505,653.6,51,stable,-1.4,-19.6,20.8
"Clay County, Kentucky(7,9)",21051,575.3,531.2,622.1,133,stable,-0.9,-10.4,9.7
"Harding County, New Mexico(7,8)",35021,574.6,371.9,873.8,8,rising,4.1,1.8,6.4
"Sargent County, North Dakota(6,10)",38081,573.6,482.2,678.9,31,falling,-13.2,-22.5,-2.9
"Griggs County, North Dakota(6,10)",38039,569.6,456.7,706.3,23,stable,-21.7,-49,20.3
"Tucker County, West Virginia(6,10)",54093,567.3,502.2,639.7,60,stable,0.8,-17.2,22.7
"Clinton County, Kentucky(7,9)",21053,567.2,508.9,630.8,73,stable,8.7,-10.6,32.2
"Grayson County, Kentucky(7,9)",21085,566.8,529.6,606.1,180,stable,-1.7,-11.1,8.8
"Perry County, Kentucky(7,9)",21193,565.9,529.5,604.1,190,stable,-1,-8.8,7.4
"Vilas County, Wisconsin(6,10)",55125,565.7,529.7,604.1,219,stable,-0.7,-12.5,12.6
"Catahoula Parish, Louisiana(7,9)",22025,565.4,507.1,629,71,stable,6.9,-1.6,16.2
"Holmes County, Mississippi(6,10)",28051,564.5,517.9,614.2,112,stable,-2.7,-15.5,12
"McCreary County, Kentucky(7,9)",21147,562.1,515,612.5,111,stable,3.1,-16.3,26.9
"Lewis County, West Virginia(6,10)",54041,561.6,517.8,608.5,128,stable,-7.3,-17.1,3.8
"Leslie County, Kentucky(7,9)",21131,561.4,505.4,622.2,77,stable,-5.2,-13.5,3.9
"Grand Isle County, Vermont(6,10)",50013,560.8,487.8,642.3,50,stable,-2.4,-11.3,7.5
"Floyd County, Kentucky(7,9)",21071,559.2,528.6,591.3,263,stable,-0.2,-2.8,2.4
"Roanoke City, Virginia(6,10)",51770,558.9,539.2,579.3,634,stable,11.2,-1.5,25.6
"Nicholas County, Kentucky(7,9)",21181,558.6,490.6,634.1,50,stable,1.3,-24.6,36
"Cape May County, New Jersey(7,8)",34009,558.6,541,576.7,853,stable,-3.8,-8,0.6
"Haakon County, South Dakota(6,10)",46055,558.1,436.7,707.7,17,stable,5.8,-13.3,29
"Jackson County, Kentucky(7,9)",21109,557.4,505.2,613.7,89,stable,-6.5,-19,7.8
"Hopewell City, Virginia(6,10)",51670,556.8,516,600.1,142,stable,-1.5,-11,9.1
"Henry County, Kentucky(7,9)",21103,556.7,508.8,608.1,105,stable,-3.9,-17.1,11.5
"Franklin City, Virginia(6,10)",51620,556.3,492.9,625.9,60,rising,11.6,2.5,21.5
"Galax City, Virginia(6,10)",51640,555.3,487.5,630.5,53,stable,29,-3.1,71.6
"Cameron County, Pennsylvania(6,10)",42023,554.3,477.6,641.4,43,stable,-3.5,-10.8,4.3
"Pulaski County, Illinois(6,10)",17153,553.8,483.1,632.8,47,stable,2.1,-7.8,13
"Clark County, Kentucky(7,9)",21049,551.8,520.2,585,235,stable,2.9,-5.3,11.8
"Logan County, West Virginia(6,10)",54045,551.5,520.8,583.7,257,stable,2.4,-0.4,5.3
"Ida County, Iowa(7,8)",19093,550.7,484.7,623.8,57,rising,1,0.2,1.9
"Carter County, Kentucky(7,9)",21043,550.5,514.2,588.8,179,stable,3.6,-3.3,11
"Petroleum County, Montana(6,10)",30069,549.4,330.1,890.2,4,stable,-6.3,-43.9,56.4
"Simpson County, Kentucky(7,9)",21213,549.2,504.2,597.4,114,stable,-2.1,-9.6,6
"Tunica County, Mississippi(6,10)",28143,547.7,481,620.7,52,stable,1,-8.9,12
"Wyoming County, New York(6,10)",36121,547.6,518.2,578.4,270,stable,-5.2,-10.6,0.6
"Salem City, Virginia(6,10)",51775,547.1,510.4,585.9,174,stable,14.1,-6.2,38.8
"Chautauqua County, New York(6,10)",36013,547.1,531.2,563.3,952,stable,-2.9,-7.4,1.8
"Macon County, Illinois(6,10)",17115,546.8,529.2,564.9,770,falling,-3.5,-5.6,-1.4
"Osceola County, Michigan(6,10)",26133,546.4 #  ,509,585.9,169,stable,4.6,-9.4,20.7
"Treasure County, Montana(6,10)",30103,546,370,802.8,7,stable,22.7,-11.6,70.1
"Dallam County, Texas(6,10)",48111,546,459.9,642.8,31,stable,17,-0.9,38
"Turner County, Georgia(7,9)",13287,545.5,482.4,614.8,57,stable,0.4,-12.6,15.5
"Garfield County, Nebraska(6,10)",31071,544.8,423.2,695.4,18,stable,4.9,-15.2,29.7
"Mercer County, Kentucky(7,9)",21167,544.3,504.7,586.3,148,stable,1.3,-8.6,12.3
"Sullivan County, Pennsylvania(6,10)",42113,544.2,479.5,617,60,stable,1.6,-11.2,16.2
"Nelson County, Kentucky(7,9)",21179,543.2,513.1,574.6,257,stable,0,-7.6,8.3
"Danville City, Virginia(6,10)",51590,543.1,515.7,571.6,319,stable,6.2,-11,26.8
"Bullitt County, Kentucky(7,9)",21029,542.9,519.1,567.5,427,stable,1.2,-3.7,6.4
"Bath County, Kentucky(7,9)",21011,542.6,488.9,600.9,78,stable,0.9,-6.2,8.5
"Magoffin County, Kentucky(7,9)",21153,542.4,489.2,600,80,stable,-4.1,-14.6,7.7
"Rockcastle County, Kentucky(7,9)",21203,542.3,497.9,589.9,115,stable,1.4,-6.5,10
"East Feliciana Parish, Louisiana(7,9)",22037,541.9,499.6,587,131,stable,-0.5,-9.3,9.2
"Musselshell County, Montana(6,10)",30065,541.7,461.2,634.1,38,falling,-11.5,-16.9,-5.7
"Garrard County, Kentucky(7,9)",21079,541.5,496.5,589.7,112,stable,0.1,-9.4,10.6
"Cumberland County, Kentucky(7,9)",21057,541.4,475.2,615,52,stable,-4.3,-11.5,3.5
"Whitley County, Kentucky(7,9)",21235,541.3,509.1,575,220,stable,-0.2,-2.7,2.4
"Knox County, Kentucky(7,9)",21121,541.3,508,576.2,206,falling,-7,-12.7,-1
"Livingston County, Kentucky(7,9)",21139,541.2,485,602.9,73,stable,-10.8,-23.2,3.6
"Gloucester County, New Jersey(7,8)",34015,540.6,529,552.4,1713,stable,-4.4,-9.3,0.8
"Lawrence County, Kentucky(7,9)",21127,540.5,493,591.6,101,stable,4.4,-5.1,14.8
"Erie County, New York(6,10)",36029,540.5,534.3,546.7,6147,stable,-0.5,-3.6,2.7
"Ohio County, Kentucky(7,9)",21183,539.7,502,579.7,158,stable,1.8,-8.4,13.2
