Incidence Rate Report for United States by County

"Brain & ONS, 2009-2013"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County,FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,6.6 ,6.5, 6.6,21761,falling,-1.2 ,-1.8, -0.7
"Williamsburg City, Virginia(6,10)",51830,24.8 ,13.7, 42,3,*,*,*,*
"Union County, Florida(6,10)",12125,21.3 ,11.8, 35.5,3,*,*,*,*
"Davison County, South Dakota(6,10)",46035,15.1 ,8.4, 25.1,3,*,*,*,*
"Leake County, Mississippi(6,10)",28079,14.5 ,8.5, 23.1,4,stable,-0.1 ,-39.7, 65.4
"Montgomery County, Kentucky(7,9)",21173,13.8 ,8.3, 21.6,4,stable,-3.9 ,-41.6, 58.1
"Charlevoix County, Michigan(6,10)",26029,13.5 #  ,8, 21.4,4,stable,1.6 ,-15.8, 22.6
"Gilmer County, Georgia(7,9)",13123,12.9 ,7.7, 20.3,4,stable,-8.5 ,-31.8, 22.6
"Fayette County, Indiana(6,10)",18041,12.8 ,7.2, 21.1,3,*,*,*,*
"Cleburne County, Arkansas(6,10)",05023,12.7 ,7.3, 20.6,4,stable,10.2 ,-17.0, 46.5
"Lincoln County, Wisconsin(6,10)",55069,12.4 ,7, 20.2,4,stable,-22.5 ,-58.2, 43.6
"Boone County, Iowa(7)",19015,12.4 ,7.5, 19.5,4,*,*,*,*
"Lincoln County, Missouri(6,10)",29113,12.3 ,8.5, 17.2,7,stable,-5.4 ,-25.4, 19.9
"Charlottesville City, Virginia(6,10)",51540,12.2 ,7.5, 18.7,5,stable,64.6 ,-26.3, 267.7
"Seneca County, New York(6,10)",36099,12.1 ,7.5, 18.5,5,stable,2.0 ,-36.7, 64.3
"Gallia County, Ohio(6,10)",39053,12 ,7.2, 18.9,4,stable,-11.5 ,-53.3, 67.8
"Giles County, Tennessee(6,10)",47055,11.8 ,7, 18.7,4,stable,-12.2 ,-53.2, 64.6
"Shawano County, Wisconsin(6,10)",55115,11.8 ,7.8, 17.2,6,stable,4.4 ,-29.3, 54.3
"Grayson County, Kentucky(7,9)",21085,11.8 ,6.7, 19.3,3,*,*,*,*
"Harrisonburg City, Virginia(6,10)",51660,11.5 ,6.8, 18.1,4,*,*,*,*
"Winston County, Alabama(6,10)",01133,11.4 ,6.3, 19,3,*,*,*,*
"Matanuska-Susitna Borough, Alaska(6,10)",02170,11.3 ,8, 15.5,9,stable,-9.4 ,-40.2, 37.3
"Franklin County, Massachusetts(6,10)",25011,11.3 ,8.1, 15.3,9,stable,15.9 ,-3.8, 39.7
"Pickens County, Georgia(7,9)",13227,11.2 ,6.5, 18.1,4,stable,7.4 ,-26.9, 58.0
"Adams County, Nebraska(6,10)",31001,11.2 ,6.7, 17.6,4,stable,-4.6 ,-19.4, 12.8
"Jackson County, Georgia(7,9)",13157,11.2 ,7.7, 15.8,7,stable,4.3 ,-17.8, 32.4
"Elk County, Pennsylvania(6,10)",42047,11.1 ,6.4, 17.9,4,stable,18.3 ,-8.3, 52.7
"Boyle County, Kentucky(7,9)",21021,11.1 ,6.4, 17.8,4,stable,5.8 ,-55.3, 150.7
"Fluvanna County, Virginia(6,10)",51065,10.9 ,6.3, 17.8,3,*,*,*,*
"Robertson County, Tennessee(6,10)",47147,10.9 ,7.6, 15.2,7,stable,-7.4 ,-26.6, 16.8
"Wayne County, Georgia(7,9)",13305,10.9 ,6.4, 17.4,4,stable,7.5 ,-29.8, 64.7
"Del Norte County, California(7,9)",06015,10.9 ,6.4, 17.4,4,stable,6.9 ,-29.1, 61.1
"Cheboygan County, Michigan(6,10)",26031,10.9 #  ,5.9, 18.4,3,*,*,*,*
"Webster County, Iowa(7,8)",19187,10.9 ,6.8, 16.5,5,stable,1.8 ,-1.1, 4.8
"Anderson County, Tennessee(6,10)",47001,10.8 ,7.8, 14.6,9,stable,10.5 ,-25.0, 62.7
"Nicholas County, West Virginia(6,10)",54067,10.8 ,6, 17.9,3,*,*,*,*
"Davie County, North Carolina(6,10)",37059,10.8 ,6.8, 16.2,5,stable,-5.5 ,-30.7, 28.8
"Marshall County, Tennessee(6,10)",47117,10.8 ,6.5, 16.9,4,stable,20.0 ,-24.6, 90.8
"Forrest County, Mississippi(6,10)",28035,10.7 ,7.5, 14.8,7,stable,22.1 ,-44.3, 167.8
"Putnam County, West Virginia(6,10)",54079,10.7 ,7.2, 15.3,6,rising,29.7 ,22.5, 37.4
"Jefferson County, Washington(7,8)",53031,10.6 ,5.5, 18.5,3,stable,0.2 ,-2.6, 3.0
"Queen Annes County, Maryland(6,10)",24035,10.6 ,6.9, 15.6,6,stable,15.7 ,-28.9, 88.2
"Knox County, Indiana(6,10)",18083,10.6 ,6.4, 16.3,4,rising,18.5 ,1.6, 38.2
"Oconee County, Georgia(7,9)",13219,10.5 ,5.8, 17.4,3,*,*,*,*
"Flagler County, Florida(6,10)",12035,10.5 ,7.8, 13.7,13,falling,-14.2 ,-26.3, -0.2
"Daviess County, Indiana(6,10)",18027,10.4 ,6, 16.8,3,*,*,*,*
"Lawrence County, Indiana(6,10)",18093,10.4 ,6.7, 15.5,5,stable,-1.6 ,-43.3, 70.8
"Flathead County, Montana(6,10)",30029,10.4 ,7.8, 13.6,12,stable,-9.6 ,-35.7, 27.2
"Warren County, New York(6,10)",36113,10.4 ,7.2, 14.5,8,stable,4.6 ,-40.1, 82.6
"Wyoming County, Pennsylvania(6,10)",42131,10.3 ,5.8, 17,3,*,*,*,*
"Logan County, Illinois(6,10)",17107,10.3 ,6, 16.6,4,stable,17.8 ,-39.0, 127.7
"Perry County, Kentucky(7,9)",21193,10.3 ,5.9, 16.8,3,*,*,*,*
"Campbell County, Kentucky(7,9)",21037,10.3 ,7.6, 13.6,10,stable,-10.4 ,-31.1, 16.5
"Perry County, Pennsylvania(6,10)",42099,10.2 ,6.5, 15.4,5,stable,1.1 ,-35.0, 57.2
"Coles County, Illinois(6,10)",17029,10.2 ,6.6, 15,6,stable,-6.1 ,-33.9, 33.3
"Oswego County, New York(6,10)",36075,10.2 ,7.8, 13.1,13,stable,7.1 ,-22.7, 48.5
"Marion County, Illinois(6,10)",17121,10.2 ,6.2, 15.8,4,falling,-42.9 ,-60.1, -18.2
"Oldham County, Kentucky(7,9)",21185,10.1 ,6.6, 14.8,6,stable,0.6 ,-36.4, 59.0
"Mifflin County, Pennsylvania(6,10)",42087,10.1 ,6.6, 14.8,6,stable,-2.8 ,-37.9, 52.2
"Kerr County, Texas(6,10)",48265,10.1 ,6.7, 14.6,7,stable,21.4 ,-11.5, 66.5
"Wythe County, Virginia(6,10)",51197,10.1 ,5.7, 16.5,3,*,*,*,*
"Madison County, Kentucky(7,9)",21151,10 ,7.1, 13.6,8,stable,-1.7 ,-37.4, 54.5
