Incidence Rate Report for United States by County

"Colon & Rectum, 2009-2013"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,40.6 ,40.5, 40.7,139095,falling,-3.0 ,-3.7, -2.3
"North Slope Borough, Alaska(6,10)",02185,127.6 ,80.7, 189.4,7,stable,1.9 ,-19.9, 29.7
"Union County, Florida(6,10)",12125,118.8 ,95.1, 146.8,20,stable,14.1 ,-23.1, 69.4
"Yukon-Koyukuk Census Area, Alaska(6,10)",02290,118.3 ,79.2, 169.6,6,stable,-2.1 ,-40.8, 61.9
"Bethel Census Area, Alaska(6,10)",02050,97.8 ,70.9, 130.7,11,stable,-9.1 ,-44.4, 48.8
"Humphreys County, Mississippi(6,10)",28053,96 ,70.2, 128.3,9,stable,-3.5 ,-43.7, 65.4
"Lexington City, Virginia(6,10)",51678,95.8 ,60.1, 145.4,6,stable,13.4 ,-25.7, 73.3
"Northwest Arctic Borough, Alaska(6,10)",02188,93.5 ,56.1, 144.2,4,stable,-10.2 ,-60.7, 105.3
"Holmes County, Mississippi(6,10)",28051,87.7 ,70, 108.5,17,stable,-2.0 ,-17.6, 16.5
"Williamsburg City, Virginia(6,10)",51830,86.4 ,65.2, 113.1,12,stable,20.0 ,-29.8, 105.1
"Wade Hampton Census Area, Alaska(6,10)",02270,86.3 ,50.4, 136.7,4,stable,22.0 ,-19.5, 85.0
"Nome Census Area, Alaska(6,10)",02180,84.3 ,53.3, 125.4,6,stable,-11.7 ,-26.3, 5.9
"Charlottesville City, Virginia(6,10)",51540,81.8 ,68.6, 96.7,28,stable,5.1 ,-23.1, 43.7
"Bolivar County, Mississippi(6,10)",28011,80.5 ,67.7, 95,30,stable,-11.5 ,-29.3, 10.7
"Bracken County, Kentucky(7,9)",21023,78.7 ,55.1, 109.2,7,stable,2.3 ,-56.7, 141.8
"Turner County, Georgia(7,9)",13287,77.1 ,53.6, 107.5,7,stable,9.4 ,-1.7, 21.7
"Ransom County, North Dakota(6,10)",38073,76.4 ,50, 113.1,6,stable,-2.7 ,-46.7, 77.7
"Sharkey County, Mississippi(6,10)",28125,76.1 ,47.3, 116.7,5,*,*,*,*
"Washington County, Mississippi(6,10)",28151,75.8 ,65.4, 87.3,40,stable,-4.1 ,-26.3, 24.8
"Perkins County, South Dakota(6,10)",46105,75.1 ,44.7, 123.8,4,stable,-9.1 ,-32.9, 23.1
"Sargent County, North Dakota(6,10)",38081,74.9 ,44.2, 120.9,4,stable,-8.6 ,-34.2, 26.9
"Dewey County, South Dakota(6,10)",46041,74.7 ,43.3, 119.5,3,*,*,*,*
"East Carroll Parish, Louisiana(7,9)",22035,73.9 ,49.7, 105.9,6,stable,11.1 ,-22.7, 59.9
"Thurston County, Nebraska(6,10)",31173,73.7 ,46.9, 110,5,stable,2.7 ,-29.7, 50.0
"Catahoula Parish, Louisiana(7,9)",22025,73.3 ,53.2, 99,9,stable,-10.7 ,-35.5, 23.6
"Greene County, Illinois(6,10)",17061,73 ,56, 94,13,stable,-11.3 ,-29.7, 12.0
