Incidence Rate Report for United States by County

"Stomach, 2009-2013"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County,FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,9.2 ,9.1, 9.3,14053,stable,-0.8 ,-2.2, 0.6
"Union County, Florida(6,10)",12125,29.7 ,17.3, 49.7,4,stable,-1.2 ,-24.2, 28.8
"Clarendon County, South Carolina(6,10)",45027,20.5 ,12.2, 32.5,4,stable,3.0 ,-38.4, 72.4
"St. John the Baptist Parish, Louisiana(7,9)",22095,19.1 ,11.1, 30.5,4,stable,25.6 ,-32.7, 134.5
"McKinley County, New Mexico(7)",35031,18.5 ,11.4, 28,4,*,*,*,*
"Maverick County, Texas(6,10)",48323,18 ,10.9, 27.9,4,stable,-22.0 ,-51.7, 25.8
"Vance County, North Carolina(6,10)",37181,17 ,9.9, 27.4,4,stable,26.7 ,-22.9, 108.0
"Kings County, New York(6,10)",36047,16.8 ,15.7, 18,171,stable,1.1 ,-4.3, 6.7
"Queens County, New York(6,10)",36081,16.6 ,15.5, 17.8,173,stable,-1.5 ,-9.6, 7.2
"Terrebonne Parish, Louisiana(7,9)",22109,16.5 ,11.6, 22.8,8,stable,-9.3 ,-21.4, 4.7
"Franklin County, North Carolina(6,10)",37069,16.5 ,10.5, 24.6,5,falling,-17.6 ,-21.5, -13.5
"Washington County, Mississippi(6,10)",28151,16.1 ,9.4, 25.7,4,stable,-21.8 ,-52.2, 27.9
"Taos County, New Mexico(7)",35055,16 ,8.9, 26.9,3,*,*,*,*
"Orleans County, New York(6,10)",36073,16 ,9.5, 25.4,4,stable,46.1 ,-11.1, 140.2
"Bronx County, New York(6,10)",36005,15.7 ,14.2, 17.4,79,stable,5.4 ,-5.2, 17.2
"St. Martin Parish, Louisiana(7,9)",22099,15.5 ,9.1, 24.6,4,stable,18.7 ,-14.4, 64.5
"Jefferson County, Arkansas(6,10)",05069,15.5 ,10.2, 22.5,6,stable,-14.9 ,-51.8, 50.4
"Fremont County, Wyoming(6,10)",56013,15.3 ,8.6, 25.2,3,*,*,*,*
"St. Landry Parish, Louisiana(7,9)",22097,15.1 ,10, 21.8,6,stable,-4.1 ,-29.2, 29.9
"Greenup County, Kentucky(7,9)",21089,15 ,8.6, 24.7,3,*,*,*,*
"Thomas County, Georgia(7,9)",13275,14.7 ,8.5, 23.8,3,*,*,*,*
"Navajo County, Arizona(6,10)",04017,14.6 ,10.2, 20.1,8,stable,-5.8 ,-41.9, 52.6
"Kendall County, Illinois(6,10)",17093,14.5 ,9.3, 21.3,6,stable,8.1 ,-34.3, 77.9
