Incidence Rate Report for United States by County

"Stomach, 2009-2013"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County,FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,6.7 ,6.6, 6.7,22689,stable,-0.5 ,-1.8, 0.8
"Bethel Census Area, Alaska(6,10)",02050,26.9 ,14.2, 45.6,3,*,*,*,*
"Union County, Florida(6,10)",12125,26.4 ,16, 41.3,5,stable,15.4 ,-13.2, 53.4
"Newton County, Mississippi(6,10)",28101,16.4 ,9.9, 25.6,4,stable,-5.6 ,-31.0, 29.3
"McKinley County, New Mexico(7,8)",35031,15.1 ,10.8, 20.5,8,stable,0.1 ,-2.7, 2.9
"Marquette County, Wisconsin(6,10)",55077,14.7 ,8.3, 25,3,*,*,*,*
"St. James Parish, Louisiana(7,9)",22093,13.3 ,7.4, 22,3,*,*,*,*
"Iberville Parish, Louisiana(7,9)",22047,13 ,8.1, 19.7,5,stable,-18.8 ,-39.2, 8.6
"Maverick County, Texas(6,10)",48323,12.9 ,8.8, 18.3,6,stable,-21.2 ,-41.9, 7.0
"Williamsburg County, South Carolina(6,10)",45089,12.3 ,7.7, 18.7,5,stable,21.3 ,-13.6, 70.3
"Kings County, New York(6,10)",36047,12.3 ,11.7, 12.9,304,stable,0.5 ,-0.2, 1.2
"Troup County, Georgia(7,9)",13285,12.2 ,8.8, 16.5,9,stable,-20.4 ,-49.8, 26.2
"Bronx County, New York(6,10)",36005,11.9 ,11.1, 12.8,151,stable,0.6 ,-5.6, 7.1
"Queens County, New York(6,10)",36081,11.9 ,11.3, 12.5,292,stable,1.3 ,-5.7, 8.8
"St. John the Baptist Parish, Louisiana(7,9)",22095,11.8 ,7.6, 17.5,5,stable,9.0 ,-39.5, 96.3
"Letcher County, Kentucky(7,9)",21133,11.7 ,6.6, 19.3,3,*,*,*,*
"Lincoln County, Kentucky(7,9)",21137,11.7 ,6.6, 19.2,3,*,*,*,*
"Grenada County, Mississippi(6,10)",28043,11.4 ,6.5, 18.9,3,*,*,*,*
"St. Martin Parish, Louisiana(7,9)",22099,11.4 ,7.7, 16.3,6,rising,23.0 ,12.1, 35.0
"Webb County, Texas(6,10)",48479,11.2 ,9.1, 13.6,20,stable,-1.4 ,-27.8, 34.7
"Sunflower County, Mississippi(6,10)",28133,11.1 ,6.3, 18.2,3,*,*,*,*
"Apache County, Arizona(6,10)",04001,11 ,7.7, 15.3,7,stable,-1.0 ,-55.6, 121.0
"Clarendon County, South Carolina(6,10)",45027,11 ,6.8, 16.9,5,stable,-7.3 ,-44.9, 56.2
"Cibola County, New Mexico(7)",35006,11 ,6.2, 18,3,*,*,*,*
"Thomas County, Georgia(7,9)",13275,10.9 ,7.2, 15.8,6,stable,21.2 ,-24.2, 93.9
"Greenup County, Kentucky(7,9)",21089,10.8 ,7.1, 16,5,stable,2.5 ,-43.2, 85.2
"Taylor County, Florida(6,10)",12123,10.8 ,6.1, 17.9,3,*,*,*,*
"Pasquotank County, North Carolina(6,10)",37139,10.5 ,6.7, 15.8,5,stable,0.6 ,-50.0, 102.4
"Charlottesville City, Virginia(6,10)",51540,10.5 ,6.1, 16.7,4,stable,7.7 ,-24.5, 53.5
"Giles County, Tennessee(6,10)",47055,10.4 ,6.4, 16.3,4,stable,-9.3 ,-47.6, 56.9
"Marion County, South Carolina(6,10)",45067,10.3 ,6.2, 16.2,4,stable,-31.9 ,-61.4, 20.2
"Starr County, Texas(6,10)",48427,10.3 ,6.7, 14.9,5,stable,-12.3 ,-31.6, 12.6
"Jim Wells County, Texas(6,10)",48249,10.3 ,6.5, 15.5,5,stable,-9.3 ,-48.7, 60.6
"Leflore County, Mississippi(6,10)",28083,10.2 ,5.8, 16.6,3,*,*,*,*
"Terrebonne Parish, Louisiana(7,9)",22109,10.1 ,7.5, 13.2,11,stable,-11.4 ,-27.2, 7.8
"Coffee County, Georgia(7,9)",13069,10 ,6, 15.7,4,stable,-15.2 ,-52.4, 51.0
"San Francisco County, California(7,8)",06075,10 ,9.1, 11,94,falling,-1.8 ,-2.7, -0.8
"Taos County, New Mexico(7)",35055,10 ,6.2, 15.5,4,*,*,*,*
"Honolulu County, Hawaii(7,9)",15003,10 ,9.2, 10.8,115,stable,-1.7 ,-6.0, 2.8
"Kings County, California(7,9)",06031,9.9 ,7.4, 13,11,stable,6.5 ,-16.6, 35.9
"Los Angeles County, California(7,9)",06037,9.9 ,9.6, 10.2,939,stable,-2.2 ,-5.1, 0.9
"Pike County, Mississippi(6,10)",28113,9.9 ,6.2, 15.1,4,stable,-6.1 ,-17.0, 6.3
"Hoke County, North Carolina(6,10)",37093,9.9 ,5.9, 15.6,4,stable,2.2 ,-51.9, 117.3
"Webster Parish, Louisiana(7,9)",22119,9.8 ,6.4, 14.6,5,stable,13.2 ,-18.7, 57.6
"Dillon County, South Carolina(6,10)",45033,9.8 ,5.7, 15.8,4,rising,50.2 ,31.2, 71.9
"Franklin County, North Carolina(6,10)",37069,9.8 ,6.7, 13.9,7,falling,-16.3 ,-27.8, -3.0
"Garvin County, Oklahoma(6,10)",40049,9.8 ,5.7, 16,3,*,*,*,*
"Martin County, North Carolina(6,10)",37117,9.8 ,5.6, 16.4,3,*,*,*,*
"Adams County, Mississippi(6,10)",28001,9.8 ,6.1, 15.3,4,stable,12.3 ,-17.9, 53.6
"Gibson County, Tennessee(6,10)",47053,9.8 ,6.6, 14.1,6,stable,-10.2 ,-40.2, 34.9
"Beaufort County, North Carolina(6,10)",37013,9.8 ,6.5, 14.2,6,stable,16.5 ,-27.0, 86.0
"Lincoln Parish, Louisiana(7,9)",22061,9.7 ,6, 15,4,stable,6.0 ,-29.8, 60.0
"Pulaski County, Kentucky(7,9)",21199,9.7 ,6.8, 13.4,8,stable,-4.7 ,-34.9, 39.3
"Suffolk County, Massachusetts(6,10)",25025,9.7 ,8.6, 10.8,63,stable,2.4 ,-15.7, 24.4
